"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Current consolidated version","Latest consolidated version","Procedure status","LP_Legal basis","Cellar reference","ELI","Date created","Latest modification of notice","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Subject matter, 1st level","Subject matter, 2nd level","Subject matter, 3rd level","Subject matter, 4th level","Directory code","Directory code, 1st level","Directory code, 2nd level","Directory code, 3rd level","Directory code, 4th level","Directory code, 5th level","Directory code, 6th level","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Treaty","Legal basis","Consolidation: basic act","Instruments cited","Related document(s)","Instruments involved","Modifies","Case affecting","Earlier related instruments","Transposed legal act(s)","Modified by","Rectified by","Subsequent related instruments","Affected by case","Observations","National court","Comments","Internal comment","Additional information","Notes relating to the decision","Collection of the document","Date of document","Date of publication","Author","Document sector","Document year","Document type","Document number","Document corrigendum","Date of effect","Date of end of validity","Date of transposition","In force indicator","Entry in the directory","Number of pages","Publication Reference",
"Judgment of the General Court (Seventh Chamber) of 6 November 2024.#MeSoFa Vermögensverwaltungs AG, anciennement Sber Vermögensverwaltungs AG, anciennement Sberbank Europe AG v European Central Bank.#Access to documents – Decision 2004/258/EC – ‘Failing or likely to fail’ assessment of Sberbank banka – Refusal to grant access – Obligation to state reasons – Exception relating to the protection of the confidentiality of information that is protected as such under EU law – Concept of ‘confidential information’ – Exception relating to the protection of commercial interests.#Case T-790/22.","","62022TJ0790","","","","","","",,"","fb9802ae-eecd-47e6-a129-cc7ac1fee3a9","","2024-11-07","111111/11/2024 15:57:172024","Judgment","","ECLI:EU:T:2024:783","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2024-11-06","","General Court","6","2022","TJ","0790","","","","","","","","",
"Judgment of the General Court (Seventh Chamber) of 6 November 2024.#MeSoFa Vermögensverwaltungs AG, anciennement Sber Vermögensverwaltungs AG, anciennement Sberbank Europe AG v European Central Bank.#Access to documents – Decision 2004/258/EC – ECB’s assessment that Sberbank banka was failing or likely to fail – Refusal to grant access – Action for annulment – Act not open to challenge – Admissibility – Article 22(2) of Regulation (EU) No 1024/2013 – Article 32(1) of Regulation (EU) No 468/2014 – Supervised entity – Shareholders’ rights of defence – Article 41 of the Charter of Fundamental Rights – Right of access to the ECB’s file.#Case T-632/22.","","62022TJ0632","","","","","","",,"","090652b4-6484-4ce4-a788-a1474e2df46f","","2024-11-07","111111/11/2024 15:52:562024","Judgment","","ECLI:EU:T:2024:782","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2024-11-06","","General Court","6","2022","TJ","0632","","","","","","","","",
"Decision (EU) 2024/2830 of the European Central Bank of 29 October 2024 amending Decision (EU) 2022/911 concerning the terms and conditions of TARGET-ECB (ECB/2022/22) (ECB/2024/30)","ECB/2024/30","32024D2830","","","","","","",,"","e00b6c01-9b18-11ef-a130-01aa75ed71a1","http://data.europa.eu/eli/dec/2024/2830/oj","2024-11-05","071107/11/2024 06:22:172024","Decision","payment system, electronic banking, intra-EU payment","","Euro, European Central Bank (ECB), Economic and Monetary Union, Payment and settlement systems, Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET)","Euro, European Central Bank (ECB), Economic and Monetary Union","Payment and settlement systems","Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET)","","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Monetary policy, Economic policy, Direct instruments of monetary policy, Economic and monetary union","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital","Monetary policy, Economic policy","Direct instruments of monetary policy, Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32024O2616, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32024D1209, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022O0912","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0911","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-10-29","2024-11-05","European Central Bank","3","2024","D","2830","","2024-12-01, 2024-11-25","No end date","","false","LIE","","OJ L, 2024/2830,  5.11.2024, ELI: http://data.europa.eu/eli/dec/2024/2830/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Guideline (EU) 2024/2798 of the European Central Bank of 10 October 2024 amending Guideline (EU) 2021/831 on statistical information to be reported on financial intermediaries other than monetary financial institutions (ECB/2021/12) (ECB/2024/27)","ECB/2024/27","32024O2798","","","","","","",,"","14e17713-9a56-11ef-a130-01aa75ed71a1","http://data.europa.eu/eli/guideline/2024/2798/oj","2024-11-04","051105/11/2024 07:14:192024","Guideline","financial statistics, data collection, euro area, financial institution, financial occupation, disclosure of information, insurance company, central bank, EU statistics","","European Central Bank (ECB), Information and verification, Statistics, Monetary, financial institutions and markets statistics","European Central Bank (ECB), Information and verification","Statistics","Monetary, financial institutions and markets statistics","","General, financial and institutional matters, General, financial and institutional matters, Economic and monetary policy and free movement of capital, Statistics, Provisions governing the institutions, Monetary policy, European System of Central Banks","General, financial and institutional matters, General, financial and institutional matters, Economic and monetary policy and free movement of capital","Statistics, Provisions governing the institutions, Monetary policy","European System of Central Banks","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R1374, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1073, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2533, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R0231, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32024R1988, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021O0827, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013O0024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1075","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021O0831","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-10-10","2024-11-04","European Central Bank","3","2024","O","2798","","2024-10-11, 2025-12-01","No end date","","true","LIE","","OJ L, 2024/2798,  4.11.2024, ELI: http://data.europa.eu/eli/guideline/2024/2798/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Decision (EU) 2024/2818 of the European Central Bank of 24 October 2024 amending Decision (EU) 2016/948 on the implementation of the corporate sector purchase programme (ECB/2016/16) (ECB/2024/28)","ECB/2024/28","32024D2818","","","","","","",,"","d04ce1ab-9728-11ef-a130-01aa75ed71a1","http://data.europa.eu/eli/dec/2024/2818/oj","2024-10-31","051105/11/2024 07:11:192024","Decision","euro area, public sector, purchase, single monetary policy, financial legislation, European System of Central Banks, monetary policy, securities, EU programme","","European Central Bank (ECB), Economic and monetary policy, Monetary policy and Operations, Monetary policy instruments, Temporary framework","European Central Bank (ECB), Economic and monetary policy","Monetary policy and Operations","Monetary policy instruments","Temporary framework","Right of establishment and freedom to provide services, Economic and monetary policy and free movement of capital, Sectoral application, Economic policy, Service activities, Economic and monetary union, Stock exchanges and other securities markets","Right of establishment and freedom to provide services, Economic and monetary policy and free movement of capital","Sectoral application, Economic policy","Service activities, Economic and monetary union","Stock exchanges and other securities markets","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014O0060","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016D0016","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-10-24","2024-10-31","European Central Bank","3","2024","D","2818","","2024-11-05","No end date","","true","LIE","","OJ L, 2024/2818,  31.10.2024, ELI: http://data.europa.eu/eli/dec/2024/2818/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Decision (EU) 2024/2819 of the European Central Bank of 24 October 2024 amending Decision (EU) 2020/440 on a temporary pandemic emergency purchase programme (ECB/2020/17) (ECB/2024/29)","ECB/2024/29","32024D2819","","","","","","",,"","d59062a2-9728-11ef-a130-01aa75ed71a1","http://data.europa.eu/eli/dec/2024/2819/oj","2024-10-31","051105/11/2024 07:12:192024","Decision","single monetary policy, purchase, euro area, coronavirus disease, EU programme, epidemic, monetary policy, securities, financial legislation","","Economic and monetary policy, European Central Bank (ECB), Monetary policy and Operations, Monetary policy instruments, Temporary framework","Economic and monetary policy, European Central Bank (ECB)","Monetary policy and Operations","Monetary policy instruments","Temporary framework","Right of establishment and freedom to provide services, Economic and monetary policy and free movement of capital, Sectoral application, Monetary policy, Service activities, Stock exchanges and other securities markets","Right of establishment and freedom to provide services, Economic and monetary policy and free movement of capital","Sectoral application, Monetary policy","Service activities","Stock exchanges and other securities markets","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016D0016","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D0440","","","","","","","","","","MAN2, COVID19","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-10-24","2024-10-31","European Central Bank","3","2024","D","2819","","2024-11-05","No end date","","true","LIE","","OJ L, 2024/2819,  31.10.2024, ELI: http://data.europa.eu/eli/dec/2024/2819/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Order of the General Court (Third Chamber) of 1 October 2024.#Federazione Italiana delle Banche di Credito Cooperativo e Casse Rurali (Federcasse) and Others v European Commission.#Case T-1070/23.","","62023TO1070","","","","","","",,"","2bccd03a-7b81-4855-be82-72bbfa99a8e2","","2024-10-24","311031/10/2024 15:50:092024","Order","","ECLI:EU:T:2024:677","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2024-10-01","","General Court","6","2023","TO","1070","","","","","","","","",
"Order of the President of the General Court of 11 October 2024.#Evroins inshurans grup AD v European Insurance and Occupational Pensions Authority.#Interim relief – European System of Financial Supervisors – Mechanism enabling EIOPA to deal with breaches of EU law by the national authorities in their supervisory activities – Decision not to open an investigation – Refusal of a request not to publish a decision – Application for suspension of operation of a measure – Failure to comply with procedural requirements – Inadmissibility.#Case T-367/24 R.","","62024TO0367","","","","","","",,"","151375b2-2793-4dd7-83e6-8c760350c409","","2024-10-24","311031/10/2024 15:44:462024","Order","","ECLI:EU:T:2024:691","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2024-10-11","","General Court","6","2024","TO","0367","","","","","","","","",
"Order of the General Court (Sixth Chamber) of 15 October 2024.#Pilatus Bank plc v European Central Bank.#Action for damages – Non-contractual liability – Economic and monetary policy – Prudential supervision of credit institutions – Specific supervisory tasks conferred on the ECB – Decision to withdraw the authorisation of the credit institution – Representation of a party – Authority to act granted to the lawyer – Representative not lawfully provided with authority to act – Failure to comply with procedural requirements – Article 76(d) of the Rules of Procedure – Manifest inadmissibility.#Case T-1056/23.","","62023TO1056","","","","","","",,"","eeacec4d-8fe8-4b39-9e57-ccec02e1007b","","2024-10-24","311031/10/2024 15:39:342024","Order","","ECLI:EU:T:2024:709","Provisions governing the Institutions, Economic and monetary policy","Provisions governing the Institutions, Economic and monetary policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2024-10-15","","General Court","6","2023","TO","1056","","","","","","","","",
"Decision (EU) 2024/2683 of the European Central Bank of 8 October 2024 amending Decision ECB/2013/1 laying down the framework for a public key infrastructure for the European System of Central Banks (ECB/2024/26)","ECB/2024/26","32024D2683","","","","","","",,"","f6e0d1e9-8a8f-11ef-a67d-01aa75ed71a1","http://data.europa.eu/eli/dec/2024/2683/oj","2024-10-15","211021/10/2024 08:28:192024","Decision","European System of Central Banks, electronic document, data protection, information system, electronic government","","European Central Bank (ECB), Economic policy, European system of central banks, ECB institutional provisions, Data protection matters","European Central Bank (ECB), Economic policy, European system of central banks","ECB institutional provisions","Data protection matters","","General, financial and institutional matters, Provisions governing the institutions, European System of Central Banks","General, financial and institutional matters","Provisions governing the institutions","European System of Central Banks","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E132","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013D0001(01)","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-10-08","2024-10-15","European Central Bank","3","2024","D","2683","","2024-10-20","No end date","","true","LIE","","OJ L, 2024/2683,  15.10.2024, ELI: http://data.europa.eu/eli/dec/2024/2683/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
