"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Current consolidated version","Latest consolidated version","Procedure status","LP_Legal basis","Cellar reference","ELI","Date created","Latest modification of notice","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Subject matter, 1st level","Subject matter, 2nd level","Subject matter, 3rd level","Subject matter, 4th level","Directory code","Directory code, 1st level","Directory code, 2nd level","Directory code, 3rd level","Directory code, 4th level","Directory code, 5th level","Directory code, 6th level","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Treaty","Legal basis","Consolidation: basic act","Instruments cited","Related document(s)","Instruments involved","Modifies","Case affecting","Earlier related instruments","Transposed legal act(s)","Modified by","Rectified by","Subsequent related instruments","Affected by case","Comments","Internal comment","Collection of the document","Date of document","Date of publication","Author","Obsolete CELEX number","Document sector","Document year","Document type","Document number","Document corrigendum","Procedure number","Date of effect","Date of end of validity","In force indicator","Entry in the directory","Number of pages","Publication Reference",
"Opinion of the European Central Bank of 4 November 2024 on the imposition of a temporary solidarity contribution on credit institutions for national security purposes (CON/2024/35)","","52024AB0035","","","","","","",,"","fa9feb7f-9c3c-11ef-a130-01aa75ed71a1","","2024-11-06","061106/11/2024 12:45:182024","Opinion on draft national legislation","financial stability, banking supervision, monetary policy","","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), Banking supervision, Financial market stability, Monetary policy and Operations","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB)","Banking supervision, Financial market stability, Monetary policy and Operations","","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2024-11-04","","European Central Bank","","5","2024","AB","35","","","","","","","","",
"Opinion of the European Central Bank of 18 October 2024 on the management of the cash withdrawal service (CON/2024/34)","","52024AB0034","","","","","","",,"","2920acff-9146-11ef-a130-01aa75ed71a1","","2024-10-23","231023/10/2024 13:53:192024","Opinion on draft national legislation","","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Euro banknotes issuance","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Euro banknotes issuance","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2021-10-18","","European Central Bank","","5","2024","AB","34","","","","","","","","",
"OPINION OF THE EUROPEAN CENTRAL BANK of 30 August 2024 on a proposal for a regulation on a framework for Financial Data Access and amending Regulations (EU) No 1093/2010, (EU) No 1094/2010, (EU) No 1095/2010 and (EU) 2022/2554 (CON/2024/29)","CON/2024/29","52024AB0029","","","","","","",,"","aca741f6-8056-11ef-a67d-01aa75ed71a1","http://data.europa.eu/eli/C/2024/5923/oj","2024-10-02","021002/10/2024 09:51:192024","Opinion","personal data, data sharing, access to information, financial institution, exchange of information, data protection, financial legislation, information service, financial services, disclosure of information","","Dissemination of information, European Central Bank (ECB), European Central Bank (ECB), Financial provisions, European Central Bank (ECB), Banking supervision, Banking supervision, Statistics, Supervisory powers and tasks, Exchange of information and public access to documents, General statistics","Dissemination of information, European Central Bank (ECB), European Central Bank (ECB), Financial provisions, European Central Bank (ECB)","Banking supervision, Banking supervision, Statistics","Supervisory powers and tasks, Exchange of information and public access to documents, General statistics","","Science, information, education and culture, General, financial and institutional matters, Dissemination of information, Financial and budgetary provisions","Science, information, education and culture, General, financial and institutional matters","Dissemination of information, Financial and budgetary provisions","","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52020DC0066, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52022AB0004, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/TXT, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2554, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016R0867, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52021AB0040","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","2024-08-30","2024-10-02","European Central Bank","","5","2024","AB","0029","","2023/0205/COD","","Not known","","","","OJ C, C/2024/5923,  2.10.2024, ELI: http://data.europa.eu/eli/C/2024/5923/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Opinion of the European Central Bank of 24 September 2024 on the reporting of payments statistics to Sveriges Riksbank (CON/2024/33)","","52024AB0033","","","","","","",,"","0d3f57fe-7cb3-11ef-bbbe-01aa75ed71a1","","2024-09-27","280928/09/2024 12:40:182024","Opinion on draft national legislation","statistics","","European Central Bank (ECB), Statistics","European Central Bank (ECB)","Statistics","","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2024-09-24","","European Central Bank","","5","2024","AB","33","","","","","","","","",
"Opinion of the European Central Bank on the financing of Sveriges Riksbank (CON/2024/32)","","52024AB0032","","","","","","",,"","87122d3d-7732-11ef-bbbe-01aa75ed71a1","","2024-09-20","200920/09/2024 09:27:162024","Opinion on draft national legislation","legal basis","","European Central Bank (ECB), Legal framework of the ESCB","European Central Bank (ECB)","Legal framework of the ESCB","","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2024-09-16","","European Central Bank","","5","2024","AB","32","","","","","","","","",
"Opinion of the European Central Bank on the designation of Banco de Portugal as resolution authority for central counterparties (CON/2024/31)","","52024AB0031","","","","","","",,"","8935ed93-7662-11ef-bbbe-01aa75ed71a1","","2024-09-19","190919/09/2024 08:38:182024","Opinion on draft national legislation","legal basis","","European Central Bank (ECB), European Central Bank (ECB), Legal framework of the ESCB, ECB institutional provisions, Monetary financing prohibition","European Central Bank (ECB), European Central Bank (ECB)","Legal framework of the ESCB, ECB institutional provisions","Monetary financing prohibition","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2024-09-13","","European Central Bank","","5","2024","AB","31","","","","","","","","",
"Opinion of the European Central Bank of 5 September 2024 on the increase of Romania’s quota in the International Monetary Fund (CON/2024/30)","","52024AB0030","","","","","","",,"","6304ac92-6cac-11ef-a8ba-01aa75ed71a1","","2024-09-06","070907/09/2024 00:01:522024","Opinion on draft national legislation","","","European Central Bank (ECB), European Central Bank (ECB), ECB institutional provisions, Foreign exchange and Foreign reserves, Monetary financing prohibition, Foreign reserves","European Central Bank (ECB), European Central Bank (ECB)","ECB institutional provisions, Foreign exchange and Foreign reserves","Monetary financing prohibition, Foreign reserves","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2024-09-05","","European Central Bank","","5","2024","AB","30","","","","","","","","",
"Opinion of the European Central Bank of 30 August 2024 on the term of office of the members of the Board of Governors of Danmarks Nationalbank, oversight and operation competences in respect of payment systems, and the right of deposit in basic business accounts (CON/2024/28)","","52024AB0028","","","","","","",,"","3dba7ca4-6926-11ef-a8ba-01aa75ed71a1","","2024-09-02","020902/09/2024 12:24:022024","Opinion on draft national legislation","legal basis, money","","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), Payment and settlement systems, Legal framework of the ESCB, Banknotes and coins, means of payment and currency matters, Payment and settlement systems, Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET), Euro banknotes production, TARGET2-Securities (T2S)","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB)","Payment and settlement systems, Legal framework of the ESCB, Banknotes and coins, means of payment and currency matters, Payment and settlement systems","Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET), Euro banknotes production, TARGET2-Securities (T2S)","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2024-08-30","","European Central Bank","","5","2024","AB","28","","","","","","","","",
"Opinion of the European Central Bank of 26 August 2024 on the modernisation of laws on international sanctions (CON/2024/27)","","52024AB0027","","","","","","",,"","ce545e43-6605-11ef-a8ba-01aa75ed71a1","","2024-08-29","290829/08/2024 12:54:192024","Opinion on draft national legislation","financial stability","","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), Financial market stability, Banking supervision, Banking supervision, Supervisory powers and tasks, Cooperation in the field of banking supervision","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB)","Financial market stability, Banking supervision, Banking supervision","Supervisory powers and tasks, Cooperation in the field of banking supervision","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2024-08-26","","European Central Bank","","5","2024","AB","27","","","","","","","","",
"Opinion of the European Central Bank of 21 June 2024 on a proposal for a regulation of the European Parliament and of the Council as regards certain reporting requirements in the fields of financial services and investment support (CON/2024/21)","CON/2024/21","52024AB0021","","","","","","",,"","523224ff-5b94-11ef-a8ba-01aa75ed71a1","http://data.europa.eu/eli/C/2024/5048/oj","2024-08-16","200820/08/2024 08:32:182024","Opinion","financial institution, financial market, EU financing, EU programme, financial control, exchange of information, data sharing, EU office or agency, disclosure of information, investment promotion","","European Central Bank (ECB), Information and verification, European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), Economic policy, Financial provisions, European Central Bank (ECB), Banking supervision, Banking supervision, Statistics, Banking supervision, Banking supervision, Cooperation in the field of banking supervision, Reporting, Exchange of information and public access to documents","European Central Bank (ECB), Information and verification, European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), Economic policy, Financial provisions, European Central Bank (ECB)","Banking supervision, Banking supervision, Statistics, Banking supervision, Banking supervision","Cooperation in the field of banking supervision, Reporting, Exchange of information and public access to documents","","Economic and monetary policy and free movement of capital, Economic policy","Economic and monetary policy and free movement of capital","Economic policy","","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E282","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010R1096, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0178, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62001CJ0338, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010R1092, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32012R0648, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013L0036, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010R1093, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R0523, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52019SC0403, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2533, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52021DC0798, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010R1094, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010R1095, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52021PC0421, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0575, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52022AB0004","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","2024-06-21","2024-08-16","European Central Bank","","5","2024","AB","0021","","2023/0363/COD","","Not known","","","","OJ C, C/2024/5048,  16.8.2024, ELI: http://data.europa.eu/eli/C/2024/5048/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
